date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:14	329847/329847	---M--	200	added ('OK')	image/jpeg	etag:%2250877-50ea06c0e8380%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_Top-view-of-Pool-and-Club-house-area.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_Top-view-of-Pool-and-Club-house-area.jpg	(from http://dasta.in/jan-2015-report/)
19:14:19	202676/202676	---M--	200	added ('OK')	image/jpeg	etag:%22317b4-50ea06ebd28c0%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_View-of-Block-work-in-progress.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_View-of-Block-work-in-progress.jpg	(from http://dasta.in/jan-2015-report/)
19:14:22	351815/351815	---M--	200	added ('OK')	image/jpeg	etag:%2255e47-50ea06ce42300%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_View-from-North-East-Corner.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_View-from-North-East-Corner.jpg	(from http://dasta.in/jan-2015-report/)
19:14:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jun%202020%2013:44:22%20GMT	http://dasta.in/?p=3806	/home/ajith/websites/dasta2/dasta.in/index991f.html	(from http://dasta.in/jan-2015-report/)
19:14:27	2445/2445	---M--	200	added ('OK')	application/json	date:Tue,%2016%20Jun%202020%2013:44:24%20GMT	http://dasta.in/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdasta.in%2Fdec-2014-report-2%2F	/home/ajith/websites/dasta2/dasta.in/wp-json/oembed/1.0/embedd988.json	(from http://dasta.in/dec-2014-report-2/)
19:14:29	2580/2580	---M-Z	200	added ('OK')	text/xml	date:Tue,%2016%20Jun%202020%2013:44:27%20GMT	http://dasta.in/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdasta.in%2Fdec-2014-report-2%2F&format=xml	/home/ajith/websites/dasta2/dasta.in/wp-json/oembed/1.0/embedf16b	(from http://dasta.in/dec-2014-report-2/)
19:14:35	117611/117611	---M--	200	added ('OK')	image/jpeg	etag:%221cb6b-50ea06edbad40%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_View-of-Safety-Net.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_View-of-Safety-Net.jpg	(from http://dasta.in/jan-2015-report/)
19:14:43	283593/283593	---M--	200	added ('OK')	image/jpeg	etag:%22453c9-50ea05d094c80%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_Block-work-at-8th-floor.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_Block-work-at-8th-floor.jpg	(from http://dasta.in/jan-2015-report/)
19:14:55	216639/216639	---M--	200	added ('OK')	image/jpeg	etag:%2234e3f-50ea06e70dd80%22	http://dasta.in/wp-content/uploads/2015/02/Jan2015_View-from-South-West-Corner.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/02/Jan2015_View-from-South-West-Corner.jpg	(from http://dasta.in/jan-2015-report/)
19:14:55	148671/148671	---M--	200	added ('OK')	image/jpeg	etag:%22244bf-50d152e129f80%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Pan_Web_jan-13-900x900.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Pan_Web_jan-13-900x900.jpg	(from http://dasta.in/dec-2014-report-2/)
