date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:02	68/68	---M-Z	200	added ('OK')	text/plain	etag:W/%225ee69b08-39%22	https://pscott.io/robots.txt		(from )
01:30:02	2634/2634	---M-Z	200	added ('OK')	text/html	etag:W/%225ee69b08-a4a%22	https://pscott.io/	/home/ajith/websites/portfolio/pscott.io/index.html	(from )
01:30:04	37905/37905	---M--	200	added ('OK')	image/png	etag:%225ee69b08-9411%22	https://pscott.io/me.png	/home/ajith/websites/portfolio/pscott.io/me.png	(from https://pscott.io/)
01:30:04	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2024%20Jun%202020%2020:00:04%20GMT	https://raw.githubusercontent.com/pkellz/react-gh-pages/gh-pages/images/this-portfolio.png	/home/ajith/websites/portfolio/raw.githubusercontent.com/pkellz/react-gh-pages/gh-pages/images/this-portfolio.1.delayed	(from https://pscott.io/)
01:30:05	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d322e91-247b%22	https://pscott.io/logo192.png	/home/ajith/websites/portfolio/pscott.io/logo192.png	(from https://pscott.io/)
01:30:06	306/306	---M-Z	200	added ('OK')	application/json	etag:W/%225ee69b08-132%22	https://pscott.io/manifest.json	/home/ajith/websites/portfolio/pscott.io/manifest.json	(from https://pscott.io/)
01:30:07	3824/3824	---M-Z	200	added ('OK')	text/css	etag:W/%225ee69b08-ef0%22	https://pscott.io/static/css/main.18298f47.chunk.css	/home/ajith/websites/portfolio/pscott.io/static/css/main.18298f47.chunk.css	(from https://pscott.io/)
01:30:09	9173/9173	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee69b08-23d5%22	https://pscott.io/static/js/main.4ca530c2.chunk.js	/home/ajith/websites/portfolio/pscott.io/static/js/main.4ca530c2.chunk.js	(from https://pscott.io/)
01:30:10	1611401/1611401	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee69b08-189689%22	https://pscott.io/static/js/2.99a4a113.chunk.js	/home/ajith/websites/portfolio/pscott.io/static/js/2.99a4a113.chunk.js	(from https://pscott.io/)
